word;weight;number_of_words
mengingini;-1;1
mengingkari;-3;1
menginjak-injak;-4;1
menginspirasi;5;1
mengintai;-3;1
menginvasi;-4;1
mengkhianati;-4;1
mengobarkan;-1;1
mengobati;4;1
mengoceh;-3;1
mengolok-olok;-3;1
mengomeli;-3;1
mengotori;-4;1
mengoyakkan;-3;1
menguap;-1;1
mengubur;-1;1
mengucilkan;-4;1
mengulur-ulur;-3;1
mengundi;-2;1
menguntungkan;4;1
mengurangi;-2;1
menguras;-2;1
mengurungkan;-1;1
mengusir;-4;1
mengusut;3;1
mengutuk;-4;1
menikmati;4;1
menilai;1;1
menimbulkan;1;1
menimbun;-3;1
menindas;-4;1
meningkatkan;3;1
menipu;-5;1
menisik;-1;1
menjatuhkan;-3;1
menjejalkan;-2;1
menjemukan;-3;1
menjengkelkan;-3;1
menjerat;-3;1
menjerit;-3;1
menjijikkan;-4;1
menolak;-2;1
menonaktifkan;-1;1
menuding;-4;1
menuduh;-4;1
menular;-2;1
menumbangkan;-2;1
menunangkan;1;1
menunggu;-2;1
menuntut;-3;1
menurun;-2;1
menurunkan;-1;1
menusuk;-4;1
menutupi;-1;1
menyakitkan;-3;1
menyalahgunakan;-4;1
menyalahkan;-4;1
menyalak;-4;1
menyamarkan;-3;1
menyambut;3;1
menyangkal;-3;1
menyayangkan;1;1
menyebalkan;-4;1
menyedihkan;-3;1
menyedot;-1;1
menyegarkan;3;1
menyelinap;-3;1
menyelundupkan;-4;1
menyembunyikan;-2;1
menyemburkan;-1;1
menyenangkan;4;1
menyendiri;-1;1
menyensor;2;1
menyerah;-4;1
menyeramkan;-4;1
menyerang;-3;1
menyerap;1;1
menyerbu;-3;1
menyeret;-4;1
menyeringai;-2;1
menyesal;-4;1
menyesatkan;-5;1
menyiksa;-4;1
menyimpang;-4;1
menyinggung;-2;1
menyingkirkan;-3;1
menyita;-3;1
menyobek;-2;1
menyogok;-4;1
menyuap;-4;1
menyukai;4;1
menyumbat;-2;1
menyusahkan;-4;1
menyusup;-3;1
meragukan;-2;1
merajalela;-2;1
merampok;-4;1
merana;-4;1
merangkak;-2;1
merangsang;-1;1
merata;2;1
meratap;-2;1
merawat;4;1
merayakan;4;1
merebut;-2;1
mereda;3;1
meremehkan;-3;1
merendahkan;-4;1
merengek;-3;1
merenung;2;1
meresahkan;-3;1
merevitalisasi;4;1
meriah;3;1
meriam;-1;1
merinding;-1;1
meringankan;3;1
meringis;-2;1
merisaukan;-2;1
merobek;-3;1
merosot;-3;1
merugikan;-4;1
merundung;-3;1
merusak;-4;1
meskipun;-1;1
mesra;3;1
mesum;-4;1
mimpi;3;1
minim;-3;1
miring;-1;1
mirip;1;1
miris;-4;1
miskin;-3;1
mohon;1;1
monoton;-2;1
montok;-2;1
moral;4;1
muah;3;1
muak;-5;1
muda;4;1
mudah;3;1
mudah-mudahan;1;1
mulia;4;1
multitalenta;5;1
munafik;-5;1
mundur;-3;1
muntah;-3;1
murah;2;1
murahan;-4;1
muram;-2;1
murka;-4;1
murni;4;1
murung;-3;1
musuh;-4;1
naif;-3;1
naik;3;1
nakal;-3;1
nangis;-2;1
nasib;-1;1
naudzubillah;-5;1
negatif;-1;1
nekat;-2;1
neraka;-4;1
ngaku-ngaku;-4;1
ngeles;-4;1
ngeri;-4;1
ngobrol;3;1
ngomel;-4;1
nikmat;4;1
nilai;3;1
nol;-4;1
nomor;-1;1
nonsens;-3;1
norak;-5;1
normal;-1;1
numpang;-3;1
nyai;-4;1
nyaman;4;1
nyampah;-4;1
nyenyak;3;1
nyepam;-4;1
nyeri;-2;1
nyerocos;-4;1
nyindir;-3;1
nyinyir;-4;1
nyungsep;-5;1
oh;-1;1
ok;1;1
okay;1;1
oke;3;1
om-om;-4;1
omg;-2;1
omongan;-2;1
omongkosong;-4;1
openminded;4;1
oposisi;-1;1
optimal;4;1
optimis;5;1
optimisme;5;1
otentik;4;1
otokrasi;-1;1
otokrat;-2;1
padat;1;1
pahala;4;1
pahit;-2;1
pajak;-3;1
paksa;-4;1
paksaan;-4;1
palsu;-4;1
pamer;-4;1
pangsit;-1;1
panik;-3;1
panjang;1;1
pantas;3;1
pantura;-4;1
panutan;4;1
parah;-5;1
paranoid;-4;1
parasit;-4;1
parau;-3;1
partisi;-1;1
party;1;1
parut;-1;1
pasangan;4;1
patut;4;1
pecah;-2;1
pecandu;-4;1
pecundang;-4;1
peduli;4;1
pelacur;-4;1
pelaku;-2;1
pelakunya;-2;1
pelanggaran;-3;1
pelarian;-3;1
pelecehan;-4;1
peledak;-4;1
pelit;-4;1
pelonggaran;-2;1
pelosok;-4;1
peluk;3;1
pelukan;4;1
peluru;-3;1
pemalas;-4;1
pemalu;-2;1
pembajakan;-3;1
pembalasan;-4;1
pembangkang;-4;1
pembangkangan;-4;1
pembantaian;-4;1
pembatalan;-3;1
pemberang;-4;1
pemberontak;-4;1
pemberontakan;-4;1
pembesar;-2;1
pembohong;-4;1
pembuangan;-3;1
pembubaran;-3;1
pembunuh;-5;1
pembunuhan;-5;1
pemburu;-1;1
pembusukan;-4;1
pemeliharaan;4;1
pemenang;4;1
pemerasan;-4;1
pemerkosa;-5;1
pemisahan;-1;1
pemogokan;-3;1
pemukulan;-4;1
pemula;-1;1
pemuliaan;3;1
pemusnahan;-3;1
penanggung;-1;1
penawaran;-1;1
pencabutan;-2;1
pencemooh;-4;1
pencinta;4;1
pencuri;-4;1
pencurian;-4;1
pendek;-4;1
penderita;-3;1
penderitaan;-4;1
pendiri;3;1
pendukung;3;1
pendusta;-4;1
penebus;3;1
penetralan;3;1
pengacau;-4;1
pengangguran;-4;1
penganiayaan;-4;1
pengap;-3;1
pengasingan;-3;1
pengawasan;-2;1
pengecualian;-1;1
pengecut;-4;1
pengembara;2;1
pengemis;-4;1
pengepungan;-3;1
penggantian;-1;1
penggelapan;-4;1
penggugat;-3;1
penghalang;-3;1
penghargaan;4;1
penghidupan;4;1
penghinaan;-4;1
pengisap;-2;1
pengkhianat;-4;1
pengkhianatan;-4;1
pengotor;-3;1
pengunduran;-3;1
pengungsi;-2;1
penindasan;-4;1
penipu;-5;1
penipuan;-4;1
